	25		12		0		1		0		12
	1		0		0		1		0		0
	19		7		0		2		0		10
	4		1		0		1		0		2
	11		2		0		4		0		5
	71		15		0		13		0		43
	12		2		0		4		0		6
	3		0		0		0		0		3
	2		0		0		2		0		0
	29		10		0		1		0		18
	12		2		0		4		0		6
	41		10		0		8		0		23
	7		4		0		3		0		0
	29		8		0		6		0		15
	22		7		0		4		0		11
	20		5		1		0		0		14
	16		7		1		1		0		7
	41		11		0		4		0		26
	21		8		0		2		0		11
	2		0		0		2		0		0
	60		16		0		9		0		35
	13		6		0		0		0		7
	3		0		0		3		0		0
	9		4		0		1		0		4
	56		14		0		10		0		32
	2		0		0		2		0		0
	21		1		0		5		0		15
	5		0		0		5		0		0
	32		3		0		11		0		18
	3		0		0		3		0		0
	45		19		0		6		0		20
	92		32		1		16		0		43
	19		11		0		3		0		5
	5		1		0		0		0		4
	39		10		0		13		0		16
	1		0		0		0		0		1
	1		0		0		1		0		0
	7		1		0		1		0		5
	45		23		1		5		0		16
	16		5		0		0		0		11
	43		22		0		6		0		15
	1		0		0		1		0		0
	1		0		0		1		0		0
	20		3		1		6		0		10
	22		0		0		4		0		18
	44		13		0		9		0		22
	49		14		1		5		0		29
	4		2		0		0		0		2
	2		1		0		0		0		1
	11		3		0		0		0		8
	14		6		0		3		0		5
	99		42		2		12		0		43
	21		6		0		1		0		14
	23		11		0		2		0		10
	1		0		0		1		0		0
	53		16		1		6		0		30
	1		0		1		0		0		0
	29		1		0		7		0		21
	25		11		0		1		0		13
	4		0		0		4		0		0
	14		7		0		2		0		5
	19		6		0		3		0		10
	5		0		0		5		0		0
	11		2		0		4		0		5
	1		0		0		1		0		0
	11		4		0		5		0		2
	14		6		1		2		0		5
	10		5		0		1		0		4
	24		4		0		10		0		10
	9		4		0		3		0		2
	2		0		0		2		0		0
	4		0		0		0		0		4
	81		29		2		6		0		44
	2		0		0		2		0		0
	2		0		0		2		0		0
	21		4		1		6		0		10
	17		4		0		4		0		9
	38		16		0		7		0		15
	64		22		0		5		0		37
	32		12		0		2		0		18
	37		7		1		3		0		26
	39		20		0		4		0		15
	72		29		0		4		0		39
	53		13		1		5		0		34
	1		0		0		1		0		0
	6		2		0		4		0		0
	20		9		0		0		0		11
	10		3		0		6		0		1
	35		11		0		9		0		15
	35		7		0		6		0		22
	1		0		0		1		0		0
	24		9		0		2		0		13
	2		0		0		2		0		0
	13		4		0		0		0		9
	57		19		0		6		0		32
	19		11		0		2		0		6
	41		13		0		10		0		18
	41		16		4		4		0		17
	10		4		1		5		0		0
	62		28		0		4		0		30
	1		1		0		0		0		0
	32		13		1		1		0		17
	8		1		1		2		0		4
	45		12		2		2		0		29
	36		12		1		1		0		22
	11		0		0		4		0		7
	20		7		0		2		0		11
	1		0		0		1		0		0
	10		2		0		1		0		7
	1		0		0		1		0		0
	23		13		2		3		0		5
	12		7		0		1		0		4
	63		30		1		8		0		24
	63		12		1		14		0		36
	5		2		0		2		0		1
	17		7		0		4		0		6
	5		2		0		0		0		3
	12		2		0		2		0		8
	49		20		1		1		0		27
	11		4		0		1		0		6
	60		14		0		7		0		39
	9		1		0		1		0		7
	9		1		0		4		0		4
	13		3		0		1		0		9
	6		4		0		0		0		2
	39		14		0		6		0		19
	1		0		0		1		0		0
	50		22		1		5		0		22
	62		29		1		2		0		30
	21		12		0		2		0		7
	53		21		2		6		0		24
	1		0		0		1		0		0
	18		3		1		4		0		10
	23		7		0		3		0		13
	2		0		0		1		0		1
	38		13		0		5		0		20
	29		16		0		1		0		12
	46		16		1		1		0		28
	66		17		0		11		0		38
	30		10		0		6		0		14
	5		4		0		1		0		0
	13		5		0		0		0		8
	19		5		0		2		0		12
	25		9		1		4		0		11
	4		4		0		0		0		0
	1		0		0		1		0		0
	12		7		0		1		0		4
	12		5		0		2		0		5
	7		2		0		0		0		5
	35		14		0		2		0		19
	11		2		0		1		0		8
	16		3		0		6		0		7
	3		0		0		3		0		0
	13		3		0		6		0		4
	30		19		2		1		0		8
	9		2		0		0		0		7
	11		8		0		0		0		3
	17		6		0		1		0		10
	28		14		0		5		0		9
	16		5		1		9		0		1
	34		11		0		6		0		17
	1		0		0		1		0		0
	85		35		2		4		0		44
	3		0		0		3		0		0
	24		16		0		0		0		8
	43		19		1		2		0		21
	19		1		1		5		0		12
	34		9		0		3		0		22
	15		8		0		0		0		7
	37		15		0		6		0		16
	16		12		0		0		0		4
	4		1		0		2		0		1
	33		12		0		4		0		17
	109		37		0		20		0		52
	12		3		0		2		0		7
	18		8		0		0		0		10
	11		5		0		1		0		5
	50		25		0		1		0		24
	72		32		1		11		0		28
	37		14		0		7		0		16
	11		5		0		0		0		6
	28		13		1		2		0		12
	5		2		0		2		0		1
	5		1		0		2		0		2
	44		16		1		4		0		23
	11		4		0		0		0		7
	13		2		0		6		0		5
	20		4		1		5		0		10
	16		13		1		0		0		2
	5		4		0		0		0		1
	1		0		0		1		0		0
	41		19		0		3		0		19
